t_obs_s,f_ratio,strobo_input_hz,eps_mode,eps,strobo_samples,strobo_output_samples,nufft_samples,nufft_modes,nufft_transforms,nufft_total_input_samples,strobo_seconds,nufft_seconds,nufft_input_samples_per_second,nufft_speedup
32.0,8.0,4096.0,scaling,0.125,131072,16384,16384,16384,2,32768,0.001130436001403723,0.0008314830010931473,39409103.92265391,1.3595419267953082
32.0,16.0,8192.0,scaling,0.0625,262144,16384,16384,16384,2,32768,0.001968802000192227,0.0007384639993688324,44373185.46064116,2.6660771572818285
32.0,32.0,16384.0,scaling,0.03125,524288,16384,16384,16384,2,32768,0.0020242979990143795,0.0004635740006051492,70685586.24345773,4.366720300042414
32.0,64.0,32768.0,scaling,0.015625,1048576,16384,16384,16384,2,32768,0.004221491000862443,0.0005340219995559892,61360767.95945644,7.905088188075375
32.0,128.0,65536.0,scaling,0.0078125,2097152,16384,16384,16384,2,32768,0.008410975999140646,0.0007513609998568427,43611526.29194663,11.194320707014597
32.0,256.0,131072.0,scaling,0.00390625,4194304,16384,16384,16384,2,32768,0.022333763001370244,0.0010633910005708458,30814629.785666417,21.002399859864447
256.0,8.0,4096.0,scaling,0.125,1048576,131072,131072,131072,2,262144,0.006710597001074348,0.0019186409990652464,136630041.85134968,3.4975782360242076
256.0,16.0,8192.0,scaling,0.0625,2097152,131072,131072,131072,2,262144,0.01196981999964919,0.0033506290001241723,78237250.37605926,3.5724098368412602
256.0,32.0,16384.0,scaling,0.03125,4194304,131072,131072,131072,2,262144,0.040443125000820146,0.00446077500055253,58766469.94469117,9.06638980800661
256.0,64.0,32768.0,scaling,0.015625,8388608,131072,131072,131072,2,262144,0.07449082799939788,0.004696322999734548,55818988.603385516,15.86152145063454
256.0,128.0,65536.0,scaling,0.0078125,16777216,131072,131072,131072,2,262144,0.13971843800027273,0.004678612000134308,56030292.743333854,29.863223963915335
256.0,256.0,131072.0,scaling,0.00390625,33554432,131072,131072,131072,2,262144,0.2706420060003438,0.00462424400029704,56689050.141636364,58.52675723490349
2048.0,8.0,4096.0,scaling,0.125,8388608,1048576,1048576,1048576,2,2097152,0.1012891899990791,0.03832881000016641,54714769.38602828,2.64263852696286
2048.0,16.0,8192.0,scaling,0.0625,16777216,1048576,1048576,1048576,2,2097152,0.1787610039991705,0.03776497000035306,55531673.92905102,4.733513729720936
2048.0,32.0,16384.0,scaling,0.03125,33554432,1048576,1048576,1048576,2,2097152,0.24896928000089247,0.029520938000132446,71039477.13282658,8.433650719356393
2048.0,64.0,32768.0,scaling,0.015625,67108864,1048576,1048576,1048576,2,2097152,0.5800036660002661,0.029967525000756723,69980820.90352954,19.35440667808303
2048.0,128.0,65536.0,scaling,0.0078125,134217728,1048576,1048576,1048576,2,2097152,1.1049416710011428,0.03031420099978277,69180513.78015961,36.449638603671616
2048.0,256.0,131072.0,scaling,0.00390625,268435456,1048576,1048576,1048576,2,2097152,2.1353448440004286,0.0297737139990204,70436358.73136282,71.71912929877288
