template_number,beta
0,4.987993225544302e-06
1,1.4895668536901096e-05
2,2.480334384825789e-05
3,3.471101915961468e-05
4,4.461869447097148e-05
5,5.4526369782328265e-05
6,6.443404509368507e-05
7,7.434172040504185e-05
8,8.424939571639865e-05
9,9.415707102775544e-05
10,0.00010406474633911224
11,0.00011397242165046903
12,0.00012388009696182582
13,0.00013378777227318262
14,0.00014369544758453942
15,0.00015360312289589622
16,0.000163510798207253
17,0.0001734184735186098
18,0.0001833261488299666
19,0.0001932338241413234
20,0.00020314149945268017
21,0.00021304917476403697
22,0.00022295685007539377
23,0.00023286452538675057
24,0.00024277220069810734
25,0.00025267987600946414
26,0.0002625875513208209
27,0.00027249522663217775
28,0.0002824029019435345
29,0.00029231057725489135
30,0.0003022182525662481
31,0.0003121259278776049
32,0.0003220336031889617
33,0.0003319412785003185
34,0.00034184895381167527
35,0.0003517566291230321
36,0.00036166430443438887
37,0.0003715719797457457
38,0.00038147965505710247
39,0.00039138733036845925
40,0.0004012950056798161
41,0.00041120268099117285
42,0.0004211103563025296
43,0.00043101803161388645
44,0.0004409257069252432
45,0.00045083338223660005
46,0.0004607410575479568
47,0.0004706487328593136
48,0.0004805564081706704
49,0.0004904640834820272
50,0.000500371758793384
51,0.0005102794341047407
52,0.0005201871094160976
53,0.0005300947847274544
54,0.0005400024600388111
55,0.000549910135350168
56,0.0005598178106615248
57,0.0005697254859728816
58,0.0005796331612842383
59,0.0005895408365955952
60,0.000599448511906952
61,0.0006093561872183087
62,0.0006192638625296655
63,0.0006291715378410224
64,0.0006390792131523791
65,0.0006489868884637359
66,0.0006588945637750927
67,0.0006688022390864494
68,0.0006787099143978063
