template_number,beta,next_delta_beta,next_mismatch
0,3.4163321033052945e-08,4.237824101702335e-06,0.049999999997445865
1,4.2719874227353875e-06,4.8880894709243975e-06,0.049999999996858224
2,9.160076893659785e-06,6.155302865282154e-06,0.05000000000161098
3,1.531537975894194e-05,7.042035676644173e-06,0.050000000000847256
4,2.2357415435586112e-05,6.164013763158125e-06,0.05000000000004956
5,2.8521429198744237e-05,4.97761836781061e-06,0.050000000000282485
6,3.349904756655485e-05,4.414067972073081e-06,0.049999999999468914
7,3.791311553862793e-05,4.454347299033507e-06,0.05000000000034144
8,4.2367462837661436e-05,5.071588826694197e-06,0.04999999999914062
9,4.743905166435563e-05,6.166463283935515e-06,0.04999999999908478
10,5.360551494829115e-05,6.812829928899762e-06,0.050000000000183564
11,6.041834487719091e-05,6.123113814159508e-06,0.04999999999915816
12,6.654145869135042e-05,5.220305246619235e-06,0.049999999999954636
13,7.176176393796965e-05,4.812914766395994e-06,0.0500000000001084
14,7.657467870436565e-05,4.939438866365044e-06,0.05000000000010951
15,8.151411757073069e-05,5.565020887125815e-06,0.05000000000028748
16,8.70791384578565e-05,6.427369920466923e-06,0.05000000000004945
17,9.350650837832343e-05,6.640380169525666e-06,0.0500000000002262
18,0.0001001468885478491,6.004226223457548e-06,0.050000000000117395
19,0.00010615111477130664,5.4135964795403585e-06,0.05000000000028704
20,0.000111564711250847,5.259014259546585e-06,0.04999999999953131
21,0.00011682372551039359,5.56789140420377e-06,0.04999999999960136
22,0.00012239161691459736,6.222421719520181e-06,0.05000000000008609
23,0.00012861403863411754,6.693696696297413e-06,0.05000000000025062
24,0.00013530773533041495,6.434165781133951e-06,0.049999999999851164
25,0.0001417419011115489,5.906569016872677e-06,0.04999999999987392
26,0.00014764847012842158,5.652067650911463e-06,0.049999999999433054
27,0.00015330053777933304,5.802844358178709e-06,0.050000000000567035
28,0.00015910338213751175,6.293262397870321e-06,0.04999999999998217
29,0.00016539664453538207,6.7481284653729936e-06,0.05000000000006899
30,0.00017214477300075506,6.675967039931408e-06,0.04999999999967164
31,0.00017882074004068647,6.292751368491622e-06,0.05000000000006555
32,0.0001851134914091781,6.06796700899982e-06,0.050000000000054445
33,0.00019118145841817791,6.175781230092527e-06,0.049999999999733036
34,0.00019735723964827044,6.557138486626462e-06,0.05000000000005622
35,0.0002039143781348969,6.859658426163834e-06,0.050000000000003375
36,0.00021077403656106074,6.7469362722787475e-06,0.04999999999984506
37,0.00021752097283333948,6.447654849560131e-06,0.04999999999945193
38,0.00022396862768289962,6.305610616838222e-06,0.04999999999957461
39,0.00023027423829973784,6.4395939088294075e-06,0.050000000000140155
40,0.00023671383220856724,6.7278510024170455e-06,0.04999999999966398
41,0.0002434416832109843,6.829770770854475e-06,0.04999999999994742
42,0.00025027145398183876,6.640317053592721e-06,0.050000000000287814
43,0.0002569117710354315,6.423452393456168e-06,0.050000000000538614
44,0.00026333522342888765,6.3905435814711744e-06,0.049999999999339906
45,0.00026972576701035883,6.569343059720169e-06,0.04999999999993909
46,0.000276295110070079,6.759226068010836e-06,0.049999999999896794
47,0.00028305433613808983,6.714902119005694e-06,0.049999999999497446
48,0.00028976923825709553,6.515105725769571e-06,0.04999999999992133
49,0.0002962843439828651,6.380819983806986e-06,0.05000000000000604
50,0.0003026651639666721,6.428820190768872e-06,0.04999999999949889
51,0.00030909398415744096,6.6050231360857345e-06,0.05000000000002103
52,0.0003156990072935267,6.685958458499993e-06,0.05000000000016003
53,0.0003223849657520267,6.571457800443037e-06,0.050000000000021916
54,0.0003289564235524697,6.408193212071895e-06,0.04999999999999272
55,0.0003353646167645416,6.350376548592456e-06,0.05000000000005789
56,0.00034171499331313407,6.4483753778316185e-06,0.049999999999997935
57,0.0003481633686909657,6.585634518550636e-06,0.04999999999984317
58,0.0003547490032095163,6.580579745488115e-06,0.050000000000039124
59,0.00036132958295500444,6.4486169692479244e-06,0.04999999999990512
60,0.00036777819992425237,6.332143939031436e-06,0.05000000000016702
61,0.0003741103438632838,6.334533156647016e-06,0.04999999999991178
62,0.0003804448770199308,6.451338416118353e-06,0.049999999999917444
63,0.00038689621543604917,6.53464039718438e-06,0.050000000000159694
64,0.00039343085583323355,6.4776051048616836e-06,0.05000000000024263
65,0.00039990846093809524,6.35493118765685e-06,0.05000000000041194
66,0.0004062633921257521,6.282666459492552e-06,0.05000000000036431
67,0.00041254605858524464,6.327086942188402e-06,0.05000000000014382
68,0.00041887314552743304,6.4367944318477976e-06,0.0500000000001104
69,0.00042530993995928084,6.468034353012005e-06,0.049999999999987166
70,0.00043177797431229284,6.387296135079408e-06,0.05000000000002802
71,0.00043816527044737225,6.285048940020627e-06,0.050000000000005373
72,0.0004444503193873929,6.2518163029272496e-06,0.05000000000016647
73,0.00045070213569032013,6.321205449462777e-06,0.05000000000006699
74,0.0004570233411397829,6.407399221880375e-06,0.049999999999778555
75,0.0004634307403616633,6.397998741971666e-06,0.049999999999680966
76,0.00046982873910363495,6.3118666094308645e-06,0.05000000000002858
77,0.0004761406057130658,6.233484018263477e-06,0.0499999999997085
78,0.0004823740897313293,6.2331697241555396e-06,0.049999999999867595
79,0.0004886072594554848,6.312224731950459e-06,0.05000000000009852
80,0.0004949194841874353,6.367832863716431e-06,0.04999999999985494
81,0.0005012873170511517,6.3314091293516445e-06,0.05000000000000693
82,0.0005076187261805034,6.2498420266684975e-06,0.0499999999993862
83,0.0005138685682071719,6.19555780489989e-06,0.04999999999986704
84,0.0005200641260120717,6.221202076866139e-06,0.049999999999864264
85,0.0005262853280889379,6.29732464917565e-06,0.049999999999871036
86,0.0005325826527381135,6.322625573264426e-06,0.05000000000022298
87,0.000538905278311378,6.271241488276934e-06,0.050000000000277045
88,0.0005451765197996549,6.199319575446211e-06,0.049999999999793876
89,0.0005513758393751011,6.168274252306492e-06,0.05000000000041782
90,0.0005575441136274076,6.212308725494077e-06,0.05000000000014304
91,0.0005637564223529017,6.276505296042142e-06,0.0500000000000671
92,0.0005700329276489438,6.276223692141679e-06,0.049999999999918
93,0.0005763091513410855,6.218779613654775e-06,0.05000000000008242
94,0.0005825279309547403,6.158989046685945e-06,0.05000000000004012
95,0.0005886869200014262,6.149599645267033e-06,0.049999999999753575
96,0.0005948365196466933,6.204195592511802e-06,0.05000000000005633
97,0.000601040715239205,6.251210165244127e-06,0.0500000000000026
98,0.0006072919254044492,6.231760722615314e-06,0.050000000000600786
99,0.0006135236861270645,6.174029402995838e-06,0.04999999999998461
100,0.0006196977155300603,6.127659763929339e-06,0.05000000000017324
101,0.0006258253752939897,6.1375368621723655e-06,0.0499999999999543
102,0.000631962912156162,6.195071942908842e-06,0.05000000000009974
103,0.0006381579840990709,6.22283162112912e-06,0.04999999999991389
104,0.0006443808157202,6.190354014034118e-06,0.05000000000024307
105,0.0006505711697342341,6.135665712343535e-06,0.05000000000015015
106,0.0006567068354465777,6.10339037893082e-06,0.049999999999961964
107,0.0006628102258255085,6.129181942092802e-06,0.050000000000025246
108,0.0006689394077676013,6.182888510376469e-06,0.05000000000012772
109,0.0006751222962779777,6.192063031927901e-06,0.05000000000003246
110,0.0006813143593099056,6.151873938814792e-06,0.04999999999992355
111,0.0006874662332487204,1.4822774118383166e-06,0.0029809623076941794
112,0.0006889485106605588,,
