index,mchirp_msun,duration_20_to_fmax_s,t20_range_s,mean_observed_duration_s,mean_stack_samples,mean_bin_width_hz,max_metric_sqrt_det,median_metric_correlation,t20_metric_volume,mean_g_logm_logm,mean_g_logm_t20,mean_g_t20_t20
0,5.0000000000000001e-04,6.6574998928126410e+07,9.8132598928126410e+07,2.1048398500000000e+07,7.0161328333333333e+05,3.3333322348830664e-02,6.8284301788114274e-02,-9.7984029316567067e-01,1.9679030080716950e+06,6.4765554461780533e+07,-6.0157721189571445e-01,5.6131550862388556e-09
1,5.7275748505435575e-04,5.3086451093662977e+07,8.4644051093662977e+07,1.9458958000000000e+07,6.4863193333333335e+05,3.3333319602915849e-02,8.5405090908945006e-02,-9.7767259782023463e-01,2.2947486644805348e+06,6.3478037831720188e+07,-7.3992143341857353e-01,8.6646495084130796e-09
2,6.5610227337158176e-04,4.2330838817031778e+07,7.3888438817031771e+07,1.7771827000000000e+07,5.9239423333333328e+05,3.3333316311669907e-02,1.0734605214062323e-01,-9.8047951145080181e-01,2.6541701087255371e+06,6.1146543091831803e+07,-8.9458894785086285e-01,1.3150850242639210e-08
3,7.5157497606950514e-04,3.3754429436850041e+07,6.5312029436850041e+07,1.6030472000000000e+07,5.3434906666666665e+05,3.3333312390773612e-02,1.3470640012495744e-01,-9.9094345668129535e-01,3.0538620502392612e+06,5.7943634596954182e+07,-1.0641907787802751e+00,1.9644010263723096e-08
4,8.6094038624671574e-04,2.6915685698428839e+07,5.8473285698428839e+07,1.4279578500000000e+07,4.7598595000000001e+05,3.3333307663143887e-02,1.6824776015075554e-01,-9.9535987720473340e-01,3.5252245199016426e+06,5.4322035777258866e+07,-1.2526643841304272e+00,2.9043003284775612e-08
5,9.8622010081678905e-04,2.1462532967342209e+07,5.3020132967342213e+07,1.2557967000000000e+07,4.1859890000000002e+05,3.3333301873622642e-02,2.1124813248157187e-01,-9.9535982177993076e-01,4.1141891752321143e+06,5.0796063642698921e+07,-1.4708763259118944e+00,4.2838792975344400e-08
6,1.1297298893077558e-03,1.7114232527988669e+07,4.8671832527988672e+07,1.0907088000000000e+07,3.6356959999999998e+05,3.3333294764268884e-02,2.6570683776526433e-01,-9.9535974550185191e-01,4.8457351603224631e+06,4.7410470243653782e+07,-1.7240905492297098e+00,6.3087300287401552e-08
7,1.2941225003812919e-03,1.3646927686448537e+07,4.5204527686448537e+07,9.3647270000000000e+06,3.1215756666666665e+05,3.3333285984538177e-02,3.3149031494982306e-01,-9.9535965405496341e-01,5.7681359463219438e+06,4.4356891257540807e+07,-2.0257398258003039e+00,9.3129737065843457e-08
8,1.4824366973412882e-03,1.0882118497707130e+07,4.2439718497707129e+07,7.9542910000000000e+06,2.6514303333333333e+05,3.3333275115695997e-02,4.0948345158511784e-01,-9.9535957254959828e-01,6.9188100701361531e+06,4.1598681655112915e+07,-2.3858898113887981e+00,1.3781368008345932e-07
9,1.6981534290429628e-03,8.6774717225595918e+06,4.0235071722559594e+07,6.6891965000000000e+06,2.2297321666666667e+05,3.3333261619951413e-02,5.2036072697213309e-01,-9.9535946830807753e-01,8.3604209187758127e+06,3.9247153238787383e+07,-2.8265688635463762e+00,2.0510011692962340e-07
10,1.9452601745101558e-03,6.9194928527193582e+06,3.8477092852719359e+07,5.5770390000000000e+06,1.8590129999999999e+05,3.3333244806637005e-02,6.5713396899424215e-01,-9.9535939482086633e-01,1.0160031165125195e+07,3.7237180743330225e+07,-3.3672268970612254e+00,3.0690002298455362e-07
11,2.2283246506576704e-03,5.5176829142651083e+06,3.7075282914265111e+07,4.6156845000000000e+06,1.5385614999999999e+05,3.3333223753843462e-02,8.1903573893333603e-01,-9.9535927985867412e-01,1.2438562219908031e+07,3.5687463751148552e+07,-4.0507615066384242e+00,4.6359214210872719e-07
12,2.5525792455906265e-03,4.3998792057169229e+06,3.5957479205716923e+07,3.7947740000000000e+06,1.2649246666666666e+05,3.3333197481008804e-02,1.0066604506059651e+00,-9.9535921944705741e-01,1.5241689671960184e+07,3.4293714220528737e+07,-4.8862362942456432e+00,7.0219027564414485e-07
13,2.9240177382128668e-03,3.5085400837102043e+06,3.5066140083710201e+07,3.1034865000000000e+06,1.0344955000000000e+05,3.3333164345304707e-02,1.2193492603500269e+00,-9.9535904851157819e-01,1.8864570863999154e+07,3.3512689665525217e+07,-5.9902928569731699e+00,1.0801897445198812e-06
14,3.3495060919862545e-03,2.7977825149096069e+06,3.4355382514909610e+07,2.5251635000000000e+06,8.4172116666666669e+04,3.3333122955384445e-02,1.4558118601754300e+00,-9.9535889545309575e-01,2.3308751669991132e+07,3.2760506762865271e+07,-7.3468844585093125e+00,1.6624882101906021e-06
15,3.8369093708405856e-03,2.2310198700281312e+06,3.3788619870028131e+07,2.0477470000000000e+06,6.8258233333333337e+04,3.3333070787455843e-02,1.7142227897472271e+00,-9.9535878405878764e-01,2.8944994691308565e+07,3.2302806372629639e+07,-9.0868942739503016e+00,2.5795919963129740e-06
16,4.3952371232482889e-03,1.7790783400786160e+06,3.3336678340078615e+07,1.6546020000000000e+06,5.5153400000000001e+04,3.3333005759431641e-02,1.9916875669520295e+00,-9.9535861118976521e-01,3.5776798992165647e+07,3.1700717482994061e+07,-1.1188544228029421e+01,3.9857507602163772e-06
17,5.0348099218584623e-03,1.4186949974491892e+06,3.2976294997449189e+07,1.3324970000000000e+06,4.4416566666666666e+04,3.3332923638070180e-02,2.2865268365153697e+00,-9.9535864709794841e-01,4.4612349810254537e+07,3.1595317048357308e+07,-1.3982588601773209e+01,6.2460469722516795e-06
18,5.7674501371407470e-03,1.1313201738225538e+06,3.2688920173822552e+07,1.0734170000000000e+06,3.5780566666666666e+04,3.3332819794854224e-02,2.5942021192248284e+00,-9.9535848635507995e-01,5.5717214133343562e+07,3.1449686663022976e+07,-1.7457988920771797e+01,9.7822189259467279e-06
19,6.6067004714502739e-03,9.0216249503802205e+05,3.2459762495038021e+07,8.6021500000000000e+05,2.8673833333333332e+04,3.3332690164309009e-02,2.9139215410621628e+00,-9.9535833678957852e-01,6.9608366171900705e+07,3.1491853540304951e+07,-2.1917222280798697e+01,1.5397146329540876e-05
20,7.5680742930705714e-03,7.1942740642335068e+05,3.2277027406423349e+07,6.8958700000000000e+05,2.2986233333333334e+04,3.3332528112213870e-02,3.2431278715197909e+00,-9.9535800836934363e-01,8.6646579988149017e+07,3.1320257337531112e+07,-2.7338156515755536e+01,2.4088147274091763e-05
21,8.6693423976072440e-03,5.7370998414626962e+05,3.2131309984146271e+07,5.5352550000000000e+05,1.8450849999999999e+04,3.3332321922764377e-02,3.5769426767057810e+00,-9.9535827445043501e-01,1.0852190683742276e+08,3.1296852427458171e+07,-3.4264603652213047e+01,3.7868414508452089e-05
22,9.9308614974572586e-03,4.5751077166515921e+05,3.2015110771665160e+07,4.4218650000000000e+05,1.4739549999999999e+04,3.3332061412740428e-02,4.3521522908872097e+00,-9.9535790666529367e-01,1.3686923254547977e+08,3.1679843301547535e+07,-4.3477822281715007e+01,6.0227373183428405e-05
