index,beta,spacing_to_next,mchirp_at_f_min_msun,mchirp_at_f_max_msun,tau_span_s
0,5.3803859129824589e-09,1.5479407849617138e-05,4.9999999999999990e-04,7.7755306748729950e-05,3.0000002423145144e+01
1,1.5484788235530120e-05,1.5456647941022900e-05,5.9487416808153400e-02,9.2509246832150425e-03,3.0006972113967670e+01
2,3.0941436176553020e-05,1.5433927977105314e-05,9.0116896950838452e-02,1.4014133931312261e-02,3.0013939466180247e+01
3,4.6375364153658334e-05,1.5411247876040974e-05,1.1488262433792068e-01,1.7865467390988262e-02,3.0020904478363040e+01
4,6.1786612029699308e-05,1.5388607555191726e-05,1.3646415092547715e-01,2.1221623830830910e-02,3.0027867151059755e+01
5,7.7175219584891034e-05,1.5366006932117086e-05,1.5594400096746039e-01,2.4250947261698248e-02,3.0034827484816834e+01
6,9.2541226517008120e-05,1.5343445924574615e-05,1.7389339997118283e-01,2.7042269312677818e-02,3.0041785480181780e+01
7,1.0788467244158274e-04,1.5320924450520755e-05,1.9065921323625326e-01,2.9649531219312773e-02,3.0048741137700279e+01
8,1.2320559689210349e-04,1.5298442428108731e-05,2.0647154635897799e-01,3.2108516844053900e-02,3.0055694457919468e+01
9,1.3850403932021222e-04,1.5275999775688620e-05,2.2149269720830114e-01,3.4444465228070036e-02,3.0062645441386536e+01
10,1.5378003909590084e-04,1.5253596411807837e-05,2.3584242316163778e-01,3.6675999914593832e-02,3.0069594088646767e+01
11,1.6903363550770868e-04,1.5231232255208003e-05,2.4961221118657201e-01,3.8817348098081329e-02,3.0076540400248795e+01
12,1.8426486776291668e-04,1.5208907224827469e-05,2.6287390222695167e-01,4.0879681807784549e-02,3.0083484376738298e+01
13,1.9947377498774415e-04,1.5186621239798577e-05,2.7568518748149146e-01,4.2871972637408988e-02,3.0090426018662505e+01
14,2.1466039622754273e-04,1.5164374219447848e-05,2.8809326409598529e-01,4.4801560244052407e-02,3.0097365326568738e+01
15,2.2982477044699058e-04,1.5142166083295796e-05,3.0013735377870260e-01,4.6674544019630199e-02,3.0104302301003798e+01
16,2.4496693653028637e-04,1.5119996751055895e-05,3.1185049003337650e-01,4.8496061024573885e-02,3.0111236942514882e+01
17,2.6008693328134227e-04,1.5097866142634118e-05,3.2326081869160705e-01,5.0270488234422962e-02,3.0118169251649476e+01
18,2.7518479942397638e-04,1.5075774178128804e-05,3.3439256502134912e-01,5.2001592935459251e-02,3.0125099228954372e+01
19,2.9026057360210519e-04,1.5053720777829626e-05,3.4526676660359379e-01,5.3692646694809179e-02,3.0132026874976976e+01
20,3.0531429437993481e-04,1.5031705862217403e-05,3.5590183800635505e-01,5.5346513173241858e-02,3.0138952190264607e+01
21,3.2034600024215222e-04,1.5009729351963283e-05,3.6631401231012933e-01,5.6965716787064288e-02,3.0145875175364957e+01
22,3.3535572959411550e-04,1.4987791167928532e-05,3.7651769090641340e-01,5.8552497105503330e-02,3.0152795830825323e+01
23,3.5034352076204403e-04,1.4965891231163986e-05,3.8652572391400963e-01,6.0108852458417447e-02,3.0159714157193122e+01
