beta_min,beta_max,beta_center,cells_total,cells_gc_baseline,baseline_fraction_of_grid,allowed_total_bin_offset,retained_power_at_offset
5.3803859129824589e-09,7.8071847452380107e-09,6.4811778885731987e-09,19,19,2.0616319444444445e-03,6.2912222495446446e-01,2.1613044840509471e-01
7.8071847452380107e-09,1.1328580260238222e-08,9.4044839833420050e-09,48,48,5.2083333333333330e-03,6.6300194277636093e-01,1.7515763513329571e-01
1.1328580260238222e-08,1.6438285361562379e-08,1.3646334125293814e-08,80,80,8.6805555555555559e-03,6.9512374518969788e-01,1.4028271395509440e-01
1.6438285361562379e-08,2.3852699934216978e-08,1.9801451668056534e-08,118,118,1.2803819444444444e-02,7.1476556976493510e-01,1.2093541007701841e-01
2.3852699934216978e-08,3.4611352804604178e-08,2.8732807255218602e-08,162,162,1.7578125000000000e-02,7.2302281027972459e-01,1.1325735085215505e-01
3.4611352804604178e-08,5.0222647594133012e-08,4.1692610552253057e-08,211,211,2.2894965277777776e-02,7.4028179882795386e-01,9.8084649771671431e-02
5.0222647594133012e-08,7.2875346583648946e-08,6.0497874754167242e-08,268,268,2.9079861111111112e-02,7.3767034121058128e-01,1.0030426189665267e-01
7.2875346583648946e-08,1.0574544342236850e-07,8.7785168673567775e-08,334,334,3.6241319444444448e-02,7.2666130309426480e-01,1.0996004448998126e-01
1.0574544342236850e-07,1.5344144938999530e-07,1.2738027361061825e-07,383,383,4.1558159722222224e-02,7.3104003475608015e-01,1.0606175120576522e-01
1.5344144938999530e-07,2.2265052402174878e-07,1.8483457228922055e-07,384,384,4.1666666666666664e-02,7.8951534468648588e-01,6.1301433311001401e-02
2.2265052402174878e-07,3.2307604004157374e-07,2.6820337360691026e-07,384,384,4.1666666666666664e-02,8.3621239111195844e-01,3.5095872546732222e-02
3.2307604004157374e-07,4.6879803273559234e-07,3.8917529725754077e-07,384,384,4.1666666666666664e-02,8.7291511175474712e-01,2.0092985077130209e-02
4.6879803273559234e-07,6.8024727388784853e-07,5.6471106220116944e-07,384,384,4.1666666666666664e-02,9.0173066371400845e-01,1.1503786608328214e-02
6.8024727388784853e-07,9.8706974287333986e-07,8.1942144329201504e-07,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
9.8706974287333986e-07,1.4322831045357102e-06,1.1890177945329046e-06,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
1.4322831045357102e-06,2.0783079476904756e-06,1.7253189153021406e-06,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
2.0783079476904756e-06,3.0157193865898149e-06,2.5035162410405604e-06,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
3.0157193865898149e-06,4.3759460328100091e-06,3.6327159654748587e-06,385,385,4.1775173611111112e-02,9.0792862377969996e-01,9.9999999999922096e-03
4.3759460328100091e-06,6.3496967812112454e-06,5.2712361395869790e-06,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
6.3496967812112454e-06,9.2136989147084580e-06,7.6488034581739534e-06,384,384,4.1666666666666664e-02,9.0792862377969996e-01,9.9999999999922096e-03
9.2136989147084580e-06,1.3369496310768100e-05,1.1098761807009049e-05,385,385,4.1775173611111112e-02,9.0792862377969996e-01,9.9999999999922096e-03
1.3369496310768100e-05,1.9399747404194187e-05,1.6104808330129459e-05,386,386,4.1883680555555552e-02,9.0792862377969996e-01,9.9999999999922096e-03
1.9399747404194187e-05,2.8149916092457214e-05,2.3368809589770098e-05,385,385,4.1775173611111112e-02,9.0792862377969996e-01,9.9999999999922096e-03
2.8149916092457214e-05,4.0846808955928077e-05,3.3909205899784876e-05,383,383,4.1558159722222224e-02,9.0792862377969996e-01,9.9999999999922096e-03
4.0846808955928077e-05,5.9270578157394762e-05,4.9203800490434758e-05,365,365,3.9605034722222224e-02,9.0792862377969996e-01,9.9999999999922096e-03
5.9270578157394762e-05,8.6004305474687360e-05,7.1396953082816572e-05,336,336,3.6458333333333336e-02,9.0792862377969996e-01,9.9999999999922096e-03
8.6004305474687360e-05,1.2479616008706843e-04,1.0360022719181759e-04,304,304,3.2986111111111112e-02,9.0792862377969996e-01,9.9999999999922096e-03
1.2479616008706843e-04,1.8108490599997901e-04,1.5032864304092257e-04,266,266,2.8862847222222224e-02,9.0792862377969996e-01,9.9999999999922096e-03
1.8108490599997901e-04,2.6276243722677734e-04,2.1813370038931709e-04,222,222,2.4088541666666668e-02,9.0792862377969996e-01,9.9999999999922096e-03
2.6276243722677734e-04,3.8128025102966945e-04,3.1652192345395827e-04,172,172,1.8663194444444444e-02,9.0792862377969996e-01,9.9999999999922096e-03
3.8128025102966945e-04,5.5325499093229356e-04,4.5928771138152867e-04,115,115,1.2478298611111112e-02,9.0792862377969996e-01,9.9999999999922096e-03
5.5325499093229356e-04,8.0279816267660067e-04,6.6644736492247052e-04,49,49,5.3168402777777780e-03,9.0792862377969996e-01,9.9999999999922096e-03
