mchirp_index,mchirp_msun,lookup_min_per_template,lookup_mean_per_template,lookup_max_per_template,nonzero_lookup_templates,total_lookup_entries,total_sum_additions
0,5.0000000000000012e-04,0,713559.000233,1051920,8566,6113773514,6113764948
1,9.9983459524908610e-03,0,14866.151056,15080,1067086,15863491398,15862424312
2,1.5120553217322271e-02,0,7516.646502,7571,2123604,15962410644,15960287040
3,1.9265930006918716e-02,0,5032.662159,5057,3178136,15994504914,15991326778
4,2.2879473849180997e-02,0,3784.241227,3798,4230668,16009890970,16005660302
5,2.6141562094670143e-02,0,3033.127031,3042,5281233,16018668768,16013387535
6,2.9147418231370046e-02,0,2531.537489,2538,6329816,16024186754,16017856938
7,3.1954966929341723e-02,0,2172.846512,2178,7376434,16027876272,16020499838
8,3.4602688671145833e-02,0,1903.601071,1908,8421109,16030447340,16022026231
9,3.7117584889645810e-02,0,1694.063795,1697,9463795,16032289410,16022825615
10,3.9519753884537240e-02,0,1526.352758,1529,10504528,16033630544,16023126016
11,4.1824126398139948e-02,0,1389.102274,1391,11543140,16034618688,16023075548
12,4.4039460343991380e-02,0,1274.864167,1277,12578070,16035346030,16022767960
13,4.6182333669232051e-02,0,1178.020731,1180,13612550,16035882596,16022270046
14,4.8276574003705490e-02,0,1094.268178,1096,14654781,16036275818,16021621037
15,5.0332646106011701e-02,0,1020.941866,1022,15707593,16036555638,16020848045
16,5.2345011188042349e-02,0,956.502654,958,16766004,16036742626,16019976622
17,5.4305741828893472e-02,0,899.756908,901,17823526,16036856844,16019033318
18,5.6214788172938332e-02,0,849.511994,851,18877775,16036911582,16018033807
19,5.8077278095778562e-02,0,804.684481,806,19929429,16036918328,16016988899
20,5.9897618738009223e-02,0,764.421156,765,20979105,16036886980,16015907875
21,6.1678597904683108e-02,0,728.060973,729,22026737,16036823594,16014796857
22,6.3422898295472416e-02,0,695.060679,696,23072403,16036735394,16013662991
23,6.5132629274125581e-02,0,664.978173,666,24115994,16036625594,16012509600
24,6.6808448343139482e-02,0,637.465112,638,25156646,16036499462,16011342816
25,6.8452144280318594e-02,0,612.207884,613,26194276,16036358194,16010163918
26,7.0066973118106612e-02,0,588.918940,590,27229877,16036205606,16008975729
27,7.1656986750519250e-02,0,567.343376,568,28265118,16036043362,16007778244
28,7.3226816682248480e-02,0,547.256919,548,29302246,16035872198,16006569952
29,7.4780307503685209e-02,0,528.477377,529,30343168,16035693700,16005350532
30,7.6319318314523613e-02,0,510.869993,512,31388599,16035508676,16004120077
31,7.7844016765451995e-02,0,494.334595,495,32438155,16035318028,16002879873
32,7.9353523354203301e-02,0,478.792227,480,33490743,16035122750,16001632007
33,8.0846067125047466e-02,0,464.179753,465,34544610,16034924330,16000379720
34,8.2319217258929225e-02,0,450.444963,451,35597486,16034723562,15999126076
35,8.3771583162776317e-02,0,437.530050,438,36647781,16034521212,15997873431
36,8.5203163754718605e-02,0,425.370569,426,37694904,16034318062,15996623158
37,8.6615049983094120e-02,0,413.899801,415,38739083,16034114476,15995375393
38,8.8008899040447230e-02,0,403.053816,404,39781028,16033910452,15994129424
39,8.9386911080222300e-02,0,392.771606,393,40821920,16033706792,15992884872
40,9.0751239182615240e-02,0,382.999129,384,41862986,16033502484,15991639498
41,9.2103064689411124e-02,0,373.694636,374,42904771,16033298490,15990393719
42,9.3443419722553780e-02,0,364.821382,365,43947751,16033094558,15989146807
43,9.4773129286222502e-02,0,356.347342,357,44992268,16032890782,15987898514
44,9.6092979670685683e-02,0,348.243590,349,46038670,16032687062,15986648392
45,9.7403641700075677e-02,0,340.484394,341,47087234,16032483986,15985396752
46,9.8705800003436567e-02,0,333.046113,334,48138276,16032281038,15984142762
47,1.0000000000000002e-01,0,325.907823,327,49192017,16032078790,15982886773
