index,mchirp_msun,duration_20_to_fmax_s,t20_range_s,g_logm_logm,g_logm_t20,g_t20_t20,metric_det,metric_sqrt_det,metric_correlation,metric_volume_density
0,5.0000000000000001e-04,6.6574998928126410e+07,9.8132598928126410e+07,1.4538151230579827e+07,-1.3751390282998316e-01,1.3135421268982170e-09,1.8640061704970623e-04,1.3652861130536200e-02,-9.9510753362831827e-01,1.3397907455443155e+06
1,5.5966492428591156e-04,5.5172192114950553e+07,8.6729792114950553e+07,1.4595140720140241e+07,-1.6658620823754250e-01,1.9200666288236768e-09,2.7267786476497038e-04,1.6512960508793400e-02,-9.9512296771947162e-01,1.4321656321300396e+06
2,6.2644965495191080e-04,4.5722477693889916e+07,7.7280077693889916e+07,1.4537640204956738e+07,-2.0022473932324880e-01,2.7848487088461176e-09,3.9518231738024795e-04,1.9879193076688197e-02,-9.9510744527979189e-01,1.5362655854583024e+06
3,7.0120379741519330e-04,3.7891321496972613e+07,6.9448921496972620e+07,1.4537355903329752e+07,-2.4160283242720410e-01,4.0548865859635680e-09,5.7540081094244189e-04,2.3987513646529561e-02,-9.9510739610819998e-01,1.6659069521453909e+06
4,7.8487834037873564e-04,3.1401490383095957e+07,6.2959090383095957e+07,1.4537050559453713e+07,-2.9153142063744752e-01,5.9041118295682488e-09,8.3780295621402323e-04,2.8944826069852679e-02,-9.9510734328167161e-01,1.8223399206548471e+06
5,8.7853775388343493e-04,2.6023237312825922e+07,5.7580837312825918e+07,1.4593953859368417e+07,-3.5316216865858563e-01,8.6302238189419434e-09,1.2255708380257413e-03,3.5008153879142800e-02,-9.9512276404426403e-01,2.0157988131372973e+06
6,9.8337353101897495e-04,2.1566167599487584e+07,5.3123767599487588e+07,1.4536370622047979e+07,-4.2447192918168763e-01,1.2517056239818882e-08,1.7761499358018851e-03,4.2144393883432288e-02,-9.9510722559187859e-01,2.2388689862847230e+06
7,1.1007193455650083e-03,1.7872498370976407e+07,4.9430098370976403e+07,1.4535992708417082e+07,-5.1218762662380257e-01,1.8225261420121542e-08,2.5861022453581017e-03,5.0853733838904118e-02,-9.9510716014665512e-01,2.5137050661884821e+06
8,1.2320680183913570e-03,1.4811472601882007e+07,4.6369072601882011e+07,1.4535587100393733e+07,-6.1802771362387732e-01,2.6536502442440422e-08,3.7653877847464434e-03,6.1362755680839848e-02,-9.9510708988042329e-01,2.8453340732164108e+06
9,1.3790905084561853e-03,1.2274729951844394e+07,4.3832329951844394e+07,1.4535151851250704e+07,-7.4573665196629602e-01,3.8637750061553585e-08,5.4824102494520632e-03,7.4043299828222567e-02,-9.9510701445104799e-01,3.2454903487939951e+06
10,1.5436571699971003e-03,1.0172470520741235e+07,4.1730070520741239e+07,1.4534684888541145e+07,-8.9983235038357612e-01,5.6257195757398178e-08,7.9823542499254385e-03,8.9344021903681042e-02,-9.9510693349388668e-01,3.7283323346472597e+06
11,1.7278615463396634e-03,8.4302757036416139e+06,3.9987875703641616e+07,1.4591405203366872e+07,-1.0900405508017144e+00,8.2230939326574487e-08,1.1676553575419746e-02,1.0805810277540387e-01,-9.9512232591272931e-01,4.3210139825541815e+06
12,1.9340470030174538e-03,6.9864735923306588e+06,3.8544073592330657e+07,1.4590865941437839e+07,-1.3152721005940944e+00,1.1972843065152326e-07,1.7000782413911342e-02,1.3038704848991461e-01,-9.9512223308663272e-01,5.0256479924820550e+06
