mchirp_index,mchirp_msun,duration_20_to_fmax_s,max_dfdt_hz_per_s,mean_dfdt_hz_per_s,t20_min_s,t20_max_s,t20_spacing_min_s,t20_spacing_max_s,t20_spacing_s,n_t20_templates,t20_worst_edge_error_hz
0,5.0000000000000012e-04,6.6574998928126410e+07,7.6547149761390302e-06,6.6090876017139533e-07,-6.6574998928126410e+07,3.1557600000000000e+07,4.3546145659555787e+03,3.0981080507286917e+05,1.1454721481046621e+04,8568,1.6666666666666666e-02
1,9.9983459524908610e-03,4.5237805812172918e+05,1.1257369245957249e-03,9.7263780172468397e-05,-4.5237805812172918e+05,3.1557600000000000e+07,2.9610233621237942e+01,2.1047397452810678e+03,2.9997533526433863e+01,1067088,1.6666666666666666e-02
2,1.5120553217322271e-02,2.2712243911320955e+05,2.2417062582529173e-03,1.9372810617830733e-04,-2.2712243911320955e+05,3.1557600000000000e+07,1.4869625853349671e+01,1.0566402095956446e+03,1.4967327965632629e+01,2123608,1.6666666666666666e-02
3,1.9265930006918716e-02,1.5170571262622337e+05,3.3555766747116445e-03,2.9003522173491505e-04,-1.5170571262622337e+05,3.1557600000000000e+07,9.9337123137553611e+00,7.0574541925465235e+02,9.9773187115561104e+00,3178140,1.6666666666666666e-02
4,2.2879473849180997e-02,1.1393714849526183e+05,4.4673367302002585e-03,3.8617782330957473e-04,-1.1393714849526183e+05,3.1557600000000000e+07,7.4615672259474142e+00,5.3002312589210374e+02,7.4861699659830148e+00,4230674,1.6666666666666666e-02
5,2.6141562094670143e-02,9.1256960338449469e+04,5.5770158526920353e-03,4.8215500315608689e-04,-9.1256960338449469e+04,3.1557600000000000e+07,5.9769120644050657e+00,4.2450366503720971e+02,5.9926965912800085e+00,5281239,1.6666666666666666e-02
6,2.9147418231370046e-02,7.6129348955363792e+04,6.6846045053925258e-03,5.7796369736194783e-04,-7.6129348955363792e+04,3.1557600000000000e+07,4.9865827224995973e+00,3.5412398592778123e+02,4.9975693394515712e+00,6329824,1.6666666666666666e-02
7,3.1954966929341723e-02,6.5320330037781736e+04,7.7901158969759026e-03,6.7360345507363627e-04,-6.5320330037781736e+04,3.1557600000000000e+07,4.2789264979065615e+00,3.0383704020911614e+02,4.2870159647501795e+00,7376442,1.6666666666666666e-02
8,3.4602688671145833e-02,5.7211571459509891e+04,8.8935744533402295e-03,7.6907518667163229e-04,-5.7211571459509891e+04,3.1557600000000000e+07,3.7480243189299518e+00,2.6611317406282501e+02,3.7542306235253746e+00,8421117,1.6666666666666666e-02
9,3.7117584889645810e-02,5.0903897375724307e+04,9.9949333506535298e-03,8.6437389410939827e-04,-5.0903897375724307e+04,3.1557600000000000e+07,3.3350230725804484e+00,2.3676882171150339e+02,3.3399364459973735e+00,9463805,1.6666666666666666e-02
10,3.9519753884537240e-02,4.5857126504752676e+04,1.1094228309953474e-02,9.5950189978519034e-04,-4.5857126504752676e+04,3.1557600000000000e+07,3.0045652930567033e+00,2.1329072816023535e+02,3.0085530782084686e+00,10504538,1.6666666666666666e-02
11,4.1824126398139948e-02,4.1728175543853249e+04,1.2191284293542036e-02,1.0544434168649245e-03,-4.1728175543853249e+04,3.1557600000000000e+07,2.7341937511038652e+00,1.9408267547547277e+02,2.7374958688094657e+00,11543152,1.6666666666666666e-02
12,4.4039460343991380e-02,3.8292336069030956e+04,1.3284450165513084e-02,1.1490549942077086e-03,-3.8292336069030956e+04,3.1557600000000000e+07,2.5091993208622121e+00,1.7809920047413726e+02,2.5119803518572534e+00,12578082,1.6666666666666666e-02
13,4.6182333669232051e-02,3.5380246053444680e+04,1.4377142053045439e-02,1.2436318258933106e-03,-3.5380246053444680e+04,3.1557600000000000e+07,2.3184950952246104e+00,1.6455235532574031e+02,2.3208693503239211e+00,13612564,1.6666666666666666e-02
14,4.8276574003705490e-02,3.2862232760428560e+04,1.5478018346226415e-02,1.3389230220833658e-03,-3.2862232760428560e+04,3.1557600000000000e+07,2.1535917962947817e+00,1.5283885595896987e+02,2.1556401429293670e+00,14654795,1.6666666666666666e-02
15,5.0332646106011701e-02,3.0658013077039795e+04,1.6590073398021841e-02,1.4351875931892077e-03,-3.0658013077039795e+04,3.1557600000000000e+07,2.0092336262543551e+00,1.4258519456947130e+02,2.0110164458571309e+00,15707609,1.6666666666666666e-02
16,5.2345011188042349e-02,2.8721197292317884e+04,1.7708041701364814e-02,1.5319695607456019e-03,-2.8721197292317884e+04,3.1557600000000000e+07,1.8823839414588812e+00,1.3357554215466553e+02,1.8839487893513849e+00,16766020,1.6666666666666666e-02
17,5.4305741828893472e-02,2.7015816673896905e+04,1.8825071645807444e-02,1.6286755470366170e-03,-2.7015816673896905e+04,3.1557600000000000e+07,1.7706882587486481e+00,1.2564255329445876e+02,1.7720728037446818e+00,17823544,1.6666666666666666e-02
18,5.6214788172938332e-02,2.5505959348944732e+04,1.9938642473060798e-02,1.7250870433077998e-03,-2.5505959348944732e+04,3.1557600000000000e+07,1.6717955286258916e+00,1.1861915322155716e+02,1.6730296614852491e+00,18877793,1.6666666666666666e-02
19,5.8077278095778562e-02,2.4159016506649386e+04,2.1049474963135469e-02,1.8212661921850047e-03,-2.4159016506649386e+04,3.1557600000000000e+07,1.5835707727490080e+00,1.1235363781325098e+02,1.5846780611538589e+00,19929449,1.6666666666666666e-02
20,5.9897618738009223e-02,2.2949312834522607e+04,2.2158215566203628e-02,1.9172687355505863e-03,-2.2949312834522607e+04,3.1557600000000000e+07,1.5043329294157752e+00,1.0672656003633051e+02,1.5053321250608236e+00,20979125,1.6666666666666666e-02
